Timestamp,Annex,Test,Status,Details
20250715_170402,base,Test Data Directory,FAIL,Directory crates/codec-core/src/codecs/g729/tests/test_data/g729 not found
20250715_170415,base,Test Data Available,PASS,       9 test vector files found
20250715_170415,base,80-sample frame encoding,SKIP,Implementation not complete
20250715_170415,base,8kHz mono support,SKIP,Implementation not complete
20250715_170415,base,CS-ACELP algorithm,SKIP,Implementation not complete
20250715_170415,base,Test Vector Set: SPEECH.IN,PASS,All files present
20250715_170415,base,Encoder Test: SPEECH.IN → SPEECH.BIT,SKIP,Implementation not ready
20250715_170415,base,Decoder Test: SPEECH.BIT → SPEECH.PST,SKIP,Implementation not ready
20250715_170415,base,Test Vector Set: ALGTHM.IN,PASS,All files present
20250715_170415,base,Encoder Test: ALGTHM.IN → ALGTHM.BIT,SKIP,Implementation not ready
20250715_170415,base,Decoder Test: ALGTHM.BIT → ALGTHM.PST,SKIP,Implementation not ready
20250715_170415,base,Test Vector Set: PITCH.IN,PASS,All files present
20250715_170415,base,Encoder Test: PITCH.IN → PITCH.BIT,SKIP,Implementation not ready
20250715_170415,base,Decoder Test: PITCH.BIT → PITCH.PST,SKIP,Implementation not ready
20250715_170415,base,Test Vector Set: LSP.IN,PASS,All files present
20250715_170415,base,Encoder Test: LSP.IN → LSP.BIT,SKIP,Implementation not ready
20250715_170415,base,Decoder Test: LSP.BIT → LSP.PST,SKIP,Implementation not ready
20250715_170415,base,Test Vector Set: FIXED.IN,PASS,All files present
20250715_170415,base,Encoder Test: FIXED.IN → FIXED.BIT,SKIP,Implementation not ready
20250715_170415,base,Decoder Test: FIXED.BIT → FIXED.PST,SKIP,Implementation not ready
20250715_170415,base,Real-time encoding,SKIP,Performance tests not implemented
20250715_170415,base,Memory usage < 50KB,SKIP,Memory tests not implemented
20250715_170415,base,No memory leaks,SKIP,Memory leak tests not implemented
20250715_170415,base,Codec-core integration,SKIP,Integration tests not implemented
20250715_170415,base,Error handling,SKIP,Error handling tests not implemented
20250715_170415,base,Thread safety,SKIP,Thread safety tests not implemented
20250715_170422,AnnexB,Test Data Available,PASS,      10 test vector files found
20250715_170422,AnnexB,VAD algorithm,SKIP,Implementation not complete
20250715_170422,AnnexB,DTX control,SKIP,Implementation not complete
20250715_170422,AnnexB,CNG generation,SKIP,Implementation not complete
20250715_170422,AnnexB,Test Vector Set: tstseq1.bin,PASS,All files present
20250715_170422,AnnexB,Encoder Test: tstseq1.bin → tstseq1.bit,SKIP,Implementation not ready
20250715_170422,AnnexB,Decoder Test: tstseq1.bit → tstseq1.out,SKIP,Implementation not ready
20250715_170422,AnnexB,Test Vector Set: tstseq2.bin,PASS,All files present
20250715_170422,AnnexB,Encoder Test: tstseq2.bin → tstseq2.bit,SKIP,Implementation not ready
20250715_170422,AnnexB,Decoder Test: tstseq2.bit → tstseq2.out,SKIP,Implementation not ready
20250715_170422,AnnexB,Test Vector Set: tstseq3.bin,PASS,All files present
20250715_170422,AnnexB,Encoder Test: tstseq3.bin → tstseq3.bit,SKIP,Implementation not ready
20250715_170422,AnnexB,Decoder Test: tstseq3.bit → tstseq3.out,SKIP,Implementation not ready
20250715_170422,AnnexB,Test Vector Set: tstseq4.bin,PASS,All files present
20250715_170422,AnnexB,Encoder Test: tstseq4.bin → tstseq4.bit,SKIP,Implementation not ready
20250715_170422,AnnexB,Decoder Test: tstseq4.bit → tstseq4.out,SKIP,Implementation not ready
20250715_170422,AnnexB,Test Vector Set: tstseq5.bin,FAIL,Missing files
20250715_170422,AnnexB,Test Vector Set: tstseq6.bin,FAIL,Missing files
20250715_170422,AnnexB,Real-time encoding,SKIP,Performance tests not implemented
20250715_170422,AnnexB,Memory usage < 50KB,SKIP,Memory tests not implemented
20250715_170422,AnnexB,No memory leaks,SKIP,Memory leak tests not implemented
20250715_170422,AnnexB,Codec-core integration,SKIP,Integration tests not implemented
20250715_170422,AnnexB,Error handling,SKIP,Error handling tests not implemented
20250715_170422,AnnexB,Thread safety,SKIP,Thread safety tests not implemented
