status	provider	api	scenario	transport	role	duration_s	exit_code	started_at_utc	ended_at_utc	log	out_dir	codec
PASS	kamailio	endpoint	registration	UDP	registration	4	0	2026-08-12T06:38:22Z	2026-08-12T06:38:26Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/registration/UDP/registration.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/registration/UDP	default
PASS	kamailio	endpoint	basic_call	UDP	callee	7	0	2026-08-12T06:38:26Z	2026-08-12T06:38:33Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/basic_call/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/basic_call/UDP	default
PASS	kamailio	endpoint	basic_call	UDP	caller	6	0	2026-08-12T06:38:27Z	2026-08-12T06:38:33Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/basic_call/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/basic_call/UDP	default
PASS	kamailio	analyzer	basic_call	UDP	analyze	1	0	2026-08-12T06:38:33Z	2026-08-12T06:38:34Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/basic_call/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/basic_call/UDP	default
PASS	kamailio	endpoint	amr_call	UDP	caller	3	0	2026-08-12T06:38:35Z	2026-08-12T06:38:38Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb/UDP	amrnb
PASS	kamailio	endpoint	amr_call	UDP	callee	4	0	2026-08-12T06:38:34Z	2026-08-12T06:38:38Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb/UDP	amrnb
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:38:38Z	2026-08-12T06:38:38Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb/UDP	amrnb
PASS	kamailio	endpoint	amr_call	UDP	caller	3	0	2026-08-12T06:38:39Z	2026-08-12T06:38:42Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb/UDP	amrwb
PASS	kamailio	endpoint	amr_call	UDP	callee	4	0	2026-08-12T06:38:38Z	2026-08-12T06:38:42Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb/UDP	amrwb
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:38:42Z	2026-08-12T06:38:42Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb/UDP	amrwb
PASS	kamailio	endpoint	amr_call	UDP	callee	5	0	2026-08-12T06:38:42Z	2026-08-12T06:38:47Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb_be/UDP	amrnb_be
PASS	kamailio	endpoint	amr_call	UDP	caller	4	0	2026-08-12T06:38:43Z	2026-08-12T06:38:47Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb_be/UDP	amrnb_be
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:38:47Z	2026-08-12T06:38:47Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrnb_be/UDP	amrnb_be
PASS	kamailio	endpoint	amr_call	UDP	callee	4	0	2026-08-12T06:38:47Z	2026-08-12T06:38:51Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb_be/UDP	amrwb_be
PASS	kamailio	endpoint	amr_call	UDP	caller	3	0	2026-08-12T06:38:48Z	2026-08-12T06:38:51Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb_be/UDP	amrwb_be
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:38:51Z	2026-08-12T06:38:51Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/endpoint/amr_call/amrwb_be/UDP	amrwb_be
PASS	kamailio	stream_peer	registration	UDP	registration	4	0	2026-08-12T06:38:51Z	2026-08-12T06:38:55Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/registration/UDP/registration.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/registration/UDP	default
PASS	kamailio	stream_peer	basic_call	UDP	caller	5	0	2026-08-12T06:38:56Z	2026-08-12T06:39:01Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/basic_call/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/basic_call/UDP	default
PASS	kamailio	stream_peer	basic_call	UDP	callee	6	0	2026-08-12T06:38:55Z	2026-08-12T06:39:01Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/basic_call/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/basic_call/UDP	default
PASS	kamailio	analyzer	basic_call	UDP	analyze	0	0	2026-08-12T06:39:01Z	2026-08-12T06:39:01Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/basic_call/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/basic_call/UDP	default
PASS	kamailio	stream_peer	amr_call	UDP	callee	5	0	2026-08-12T06:39:01Z	2026-08-12T06:39:06Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb/UDP	amrnb
PASS	kamailio	stream_peer	amr_call	UDP	caller	4	0	2026-08-12T06:39:02Z	2026-08-12T06:39:06Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb/UDP	amrnb
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:39:06Z	2026-08-12T06:39:06Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb/UDP	amrnb
PASS	kamailio	stream_peer	amr_call	UDP	callee	4	0	2026-08-12T06:39:06Z	2026-08-12T06:39:10Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb/UDP	amrwb
PASS	kamailio	stream_peer	amr_call	UDP	caller	3	0	2026-08-12T06:39:07Z	2026-08-12T06:39:10Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb/UDP	amrwb
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:39:10Z	2026-08-12T06:39:10Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb/UDP	amrwb
PASS	kamailio	stream_peer	amr_call	UDP	callee	4	0	2026-08-12T06:39:10Z	2026-08-12T06:39:14Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb_be/UDP	amrnb_be
PASS	kamailio	stream_peer	amr_call	UDP	caller	3	0	2026-08-12T06:39:11Z	2026-08-12T06:39:14Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb_be/UDP	amrnb_be
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:39:14Z	2026-08-12T06:39:14Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrnb_be/UDP	amrnb_be
PASS	kamailio	stream_peer	amr_call	UDP	caller	4	0	2026-08-12T06:39:15Z	2026-08-12T06:39:19Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb_be/UDP/caller.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb_be/UDP	amrwb_be
PASS	kamailio	stream_peer	amr_call	UDP	callee	5	0	2026-08-12T06:39:14Z	2026-08-12T06:39:19Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb_be/UDP/callee.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb_be/UDP	amrwb_be
PASS	kamailio	analyzer	amr_call	UDP	analyze	0	0	2026-08-12T06:39:19Z	2026-08-12T06:39:19Z	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb_be/UDP/analyze.log	/Users/jonathan/Developer/rvoip/crates/sip/rvoip-sip/examples/pbx/output/kamailio/stream_peer/amr_call/amrwb_be/UDP	amrwb_be
